RoomType;Room_ID;hasCoordinate;Height;W;D;OpeningArea;WFR;v_out;T_out;Distance;T_10_ID;T_10;T_20_ID;T_20;T_30_ID;T_30;T_40_ID;T_40;T_50_ID;T_50;T_60_ID;T_60;T_70_ID;T_70;T_80_ID;T_80;T_90_ID;T_90;T_100_ID;T_100
Standard;:Standard_075;{0.93, -0.3, -1.3};1;3,5;4;0,75;0,0534;3;5;2,12909;Res_V_T10_110;0,139805;Res_V_T20_110;0,140682;Res_V_T30_110;0,137793;Res_V_T40_110;0,137775;Res_V_T50_110;0,159316;Res_V_T60_110;0,14231;Res_V_T70_110;0,176273;Res_V_T80_110;0,148762;Res_V_T90_110;0,189546;Res_V_T100_110;0,148391
Standard;:Standard_075;{0.93, 0.0, -1.3};1;3,5;4;0,75;0,0534;3;5;2,356486;Res_V_T10_111;0,131295;Res_V_T20_111;0,131895;Res_V_T30_111;0,126068;Res_V_T40_111;0,129514;Res_V_T50_111;0,146906;Res_V_T60_111;0,134489;Res_V_T70_111;0,169126;Res_V_T80_111;0,141029;Res_V_T90_111;0,187546;Res_V_T100_111;0,139847
Standard;:Standard_075;{0.93, 0.3, -1.3};1;3,5;4;0,75;0,0534;3;5;2,598658;Res_V_T10_112;0,124464;Res_V_T20_112;0,123928;Res_V_T30_112;0,115905;Res_V_T40_112;0,122641;Res_V_T50_112;0,134155;Res_V_T60_112;0,128043;Res_V_T70_112;0,161389;Res_V_T80_112;0,134109;Res_V_T90_112;0,185532;Res_V_T100_112;0,13181
Standard;:Standard_075;{0.93, 0.6, -1.3};1;3,5;4;0,75;0,0534;3;5;2,851846;Res_V_T10_113;0,117745;Res_V_T20_113;0,115436;Res_V_T30_113;0,105821;Res_V_T40_113;0,115694;Res_V_T50_113;0,11883;Res_V_T60_113;0,121674;Res_V_T70_113;0,150323;Res_V_T80_113;0,126564;Res_V_T90_113;0,181312;Res_V_T100_113;0,122595
Standard;:Standard_075;{0.93, 0.9, -1.3};1;3,5;4;0,75;0,0534;3;5;3,113362;Res_V_T10_114;0,110839;Res_V_T20_114;0,107943;Res_V_T30_114;0,097605;Res_V_T40_114;0,109688;Res_V_T50_114;0,10541;Res_V_T60_114;0,116671;Res_V_T70_114;0,137708;Res_V_T80_114;0,120389;Res_V_T90_114;0,173541;Res_V_T100_114;0,11417
Standard;:Standard_075;{0.93, 1.2, -1.3};1;3,5;4;0,75;0,0534;3;5;3,381276;Res_V_T10_115;0,101226;Res_V_T20_115;0,098491;Res_V_T30_115;0,088576;Res_V_T40_115;0,101504;Res_V_T50_115;0,090837;Res_V_T60_115;0,109349;Res_V_T70_115;0,120792;Res_V_T80_115;0,111753;Res_V_T90_115;0,158492;Res_V_T100_115;0,102626
Standard;:Standard_075;{0.93, 1.5, -1.3};1;3,5;4;0,75;0,0534;3;5;3,654179;Res_V_T10_116;0,083285;Res_V_T20_116;0,078124;Res_V_T30_116;0,073955;Res_V_T40_116;0,082236;Res_V_T50_116;0,070719;Res_V_T60_116;0,08983;Res_V_T70_116;0,092329;Res_V_T80_116;0,09001;Res_V_T90_116;0,125028;Res_V_T100_116;0,078014
Standard;:Standard_075;{0.93, 1.8, -1.3};1;3,5;4;0,75;0,0534;3;5;3,931034;Res_V_T10_117;0,075343;Res_V_T20_117;0,066682;Res_V_T30_117;0,072576;Res_V_T40_117;0,074501;Res_V_T50_117;0,065017;Res_V_T60_117;0,080952;Res_V_T70_117;0,066124;Res_V_T80_117;0,075577;Res_V_T90_117;0,082155;Res_V_T100_117;0,060287
Standard;:Standard_075;{1.24, -1.8, -1.3};1;3,5;4;0,75;0,0534;3;5;1,67503;Res_V_T10_118;0,187601;Res_V_T20_118;0,169866;Res_V_T30_118;0,190356;Res_V_T40_118;0,171708;Res_V_T50_118;0,195216;Res_V_T60_118;0,172905;Res_V_T70_118;0,197011;Res_V_T80_118;0,174487;Res_V_T90_118;0,20188;Res_V_T100_118;0,175039
Standard;:Standard_075;{1.24, -1.5, -1.3};1;3,5;4;0,75;0,0534;3;5;1,710475;Res_V_T10_119;0,1381;Res_V_T20_119;0,131253;Res_V_T30_119;0,138596;Res_V_T40_119;0,132665;Res_V_T50_119;0,144936;Res_V_T60_119;0,133019;Res_V_T70_119;0,14514;Res_V_T80_119;0,133718;Res_V_T90_119;0,147908;Res_V_T100_119;0,133583
