RoomID,RoomType,OriginID,OriginPoint,Height,Width,Depth,WFR,OutdoorVelocity,OutdoorTemperature,DistanceFromWindow,PointID,Point,ResultID_T10,T_10
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.598658,SR_P34,"{-0.93, 0.3, -1.3}",Res_T10_34,0.1198
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.851846,SR_P35,"{-0.93, 0.6, -1.3}",Res_T10_35,0.112964
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.113362,SR_P36,"{-0.93, 0.9, -1.3}",Res_T10_36,0.106354
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.381276,SR_P37,"{-0.93, 1.2, -1.3}",Res_T10_37,0.097375
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.654179,SR_P38,"{-0.93, 1.5, -1.3}",Res_T10_38,0.080132
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.931034,SR_P39,"{-0.93, 1.8, -1.3}",Res_T10_39,0.07318
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.285506,SR_P40,"{-0.62, -1.8, -1.3}",Res_T10_40,0.215641
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.331362,SR_P41,"{-0.62, -1.5, -1.3}",Res_T10_41,0.21084
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.439627,SR_P42,"{-0.62, -1.2, -1.3}",Res_T10_42,0.204526
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.597662,SR_P43,"{-0.62, -0.9, -1.3}",Res_T10_43,0.186069
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.792352,SR_P44,"{-0.62, -0.6, -1.3}",Res_T10_44,0.167177
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.013088,SR_P45,"{-0.62, -0.3, -1.3}",Res_T10_45,0.147948
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.252227,SR_P46,"{-0.62, 0.0, -1.3}",Res_T10_46,0.133984
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.504501,SR_P47,"{-0.62, 0.3, -1.3}",Res_T10_47,0.122316
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.76632,SR_P48,"{-0.62, 0.6, -1.3}",Res_T10_48,0.110915
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.035214,SR_P49,"{-0.62, 0.9, -1.3}",Res_T10_49,0.102332
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.30946,SR_P50,"{-0.62, 1.2, -1.3}",Res_T10_50,0.091989
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.58783,SR_P51,"{-0.62, 1.5, -1.3}",Res_T10_51,0.074525
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.869435,SR_P52,"{-0.62, 1.8, -1.3}",Res_T10_52,0.073168
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.168,SR_P53,"{-0.31, -1.8, -1.3}",Res_T10_53,0.227267
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.218288,SR_P54,"{-0.31, -1.5, -1.3}",Res_T10_54,0.273756
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.335749,SR_P55,"{-0.31, -1.2, -1.3}",Res_T10_55,0.255965
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.504734,SR_P56,"{-0.31, -0.9, -1.3}",Res_T10_56,0.216947
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.710037,SR_P57,"{-0.31, -0.6, -1.3}",Res_T10_57,0.184619
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.940161,SR_P58,"{-0.31, -0.3, -1.3}",Res_T10_58,0.157195
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.187287,SR_P59,"{-0.31, 0.0, -1.3}",Res_T10_59,0.138755
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.446268,SR_P60,"{-0.31, 0.3, -1.3}",Res_T10_60,0.123328
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.713711,SR_P61,"{-0.31, 0.6, -1.3}",Res_T10_61,0.108132
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.987344,SR_P62,"{-0.31, 0.9, -1.3}",Res_T10_62,0.096934
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.265612,SR_P63,"{-0.31, 1.2, -1.3}",Res_T10_63,0.084308
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.547425,SR_P64,"{-0.31, 1.5, -1.3}",Res_T10_64,0.063201
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.832,SR_P65,"{-0.31, 1.8, -1.3}",Res_T10_65,0.065173
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.126111,SR_P66,"{0.0, -1.8, -1.3}",Res_T10_66,0.157386
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.178187,SR_P67,"{0.0, -1.5, -1.3}",Res_T10_67,0.279251
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.299279,SR_P68,"{0.0, -1.2, -1.3}",Res_T10_68,0.281835
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.472455,SR_P69,"{0.0, -0.9, -1.3}",Res_T10_69,0.231197
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.681703,SR_P70,"{0.0, -0.6, -1.3}",Res_T10_70,0.190541
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.915235,SR_P71,"{0.0, -0.3, -1.3}",Res_T10_71,0.159103
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.165208,SR_P72,"{0.0, 0.0, -1.3}",Res_T10_72,0.139482
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.426546,SR_P73,"{0.0, 0.3, -1.3}",Res_T10_73,0.123158
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.695946,SR_P74,"{0.0, 0.6, -1.3}",Res_T10_74,0.107074
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.971216,SR_P75,"{0.0, 0.9, -1.3}",Res_T10_75,0.095145
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.250865,SR_P76,"{0.0, 1.2, -1.3}",Res_T10_76,0.081751
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.533854,SR_P77,"{0.0, 1.5, -1.3}",Res_T10_77,0.057619
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.81944,SR_P78,"{0.0, 1.8, -1.3}",Res_T10_78,0.053022
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.168,SR_P79,"{0.31, -1.8, -1.3}",Res_T10_79,0.228835
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.218288,SR_P80,"{0.31, -1.5, -1.3}",Res_T10_80,0.281148
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.335749,SR_P81,"{0.31, -1.2, -1.3}",Res_T10_81,0.264686
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.504734,SR_P82,"{0.31, -0.9, -1.3}",Res_T10_82,0.222501
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.710037,SR_P83,"{0.31, -0.6, -1.3}",Res_T10_83,0.187806
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.940161,SR_P84,"{0.31, -0.3, -1.3}",Res_T10_84,0.159225
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.187287,SR_P85,"{0.31, 0.0, -1.3}",Res_T10_85,0.140582
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.446268,SR_P86,"{0.31, 0.3, -1.3}",Res_T10_86,0.125232
